test_set,training_set,ChiSquared,RMSE,MAE,MAPE
AdAbMPS Peak and Harvest,AdAbMPS Peak and Harvest,4.84,2.96,2.23,15.16
AdAbMPS Peak and Harvest,AdAbMPS Harvest Only,49.08,15.43,8.84,54.16
AdAbMPS Harvest Only,AdAbMPS Peak and Harvest,1.20,1.66,1.55,15.31
AdAbMPS Harvest Only,AdAbMPS Harvest Only,3.87,3.25,2.26,22.76
W Peak and Harvest,AdAbMPS Peak and Harvest,4.57,5.68,5.45,28.89
W Peak and Harvest,AdAbMPS Harvest Only,2.63,5.74,5.25,26.78
W Harvest Only,AdAbMPS Peak and Harvest,1.42,3.86,3.86,26.9
W Harvest Only,AdAbMPS Harvest Only,0.75,2.92,2.92,20.37
AdAbMSW Peak and Harvest,AdAbMSW Peak and Harvest,6.47,3.37,2.68,18.05
AdAbMSW Peak and Harvest,AdAbMSW Harvest Only,43.94,13.84,8.46,51.96
AdAbMSW Harvest Only,AdAbMSW Peak and Harvest,2.56,2.41,2.13,19.59
AdAbMSW Harvest Only,AdAbMSW Harvest Only,3.44,3.07,1.93,20.95
P Peak and Harvest,AdAbMSW Peak and Harvest,2.65,4.83,3.81,16.41
P Peak and Harvest,AdAbMSW Harvest Only,1.01,2.6,2.14,12.17
P Harvest Only,AdAbMSW Peak and Harvest,0.044,0.84,0.84,5.01
P Harvest Only,AdAbMSW Harvest Only,1.00,3.62,3.62,21.59
AdAbPSW Peak and Harvest,AdAbPSW Peak and Harvest,21.45,6.67,5.2,37.43
AdAbPSW Peak and Harvest,AdAbPSW Harvest Only,24.71,9.04,6.8,36.83
AdAbPSW Harvest Only,AdAbPSW Peak and Harvest,13.13,7.91,5.65,49.75
AdAbPSW Harvest Only,AdAbPSW Harvest Only,4.9,3.67,3.31,23.5
M Peak and Harvest,AdAbPSW Peak and Harvest,12.13,10.94,10.78,127.77
M Peak and Harvest,AdAbPSW Harvest Only,91.79,53.41,53.35,618.65
M Harvest Only,AdAbPSW Peak and Harvest,7.81,12.65,12.65,161.77
M Harvest Only,AdAbPSW Harvest Only,43.98,50.76,50.76,649.06
AdMPSW Peak and Harvest,AdMPSW Peak and Harvest,14.54,6.09,3.75,26.52
AdMPSW Peak and Harvest,AdMPSW Harvest Only,191.06,9.73,6.79,34.36
AdMPSW Harvest Only,AdMPSW Peak and Harvest,10.0,4.72,4.49,39.02
AdMPSW Harvest Only,AdMPSW Harvest Only,0.6,1.28,1.08,8.03
Ab Peak and Harvest,AdMPSW Peak and Harvest,5.91,4.29,4.22,41.21
Ab Peak and Harvest,AdMPSW Harvest Only,4.32,4.05,3.85,36.56
Ab Harvest Only,AdMPSW Peak and Harvest,2.41,3.44,3.44,41.25
Ab Harvest Only,AdMPSW Harvest Only,0.61,2.59,2.59,31.09
AdAbMPW Peak and Harvest,AdAbMPW Peak and Harvest,4.32,2.54,2.43,18.62
AdAbMPW Peak and Harvest,AdAbMPW Harvest Only,31.9,6.24,5.31,35.15
AdAbMPW Harvest Only,AdAbMPW Peak and Harvest,2.5,2.44,2.39,23.01
AdAbMPW Harvest Only,AdAbMPW Harvest Only,9.55,4.84,4.79,43.36
S Peak and Harvest,AdAbMPW Peak and Harvest,4.84,8.41,6.96,39.76
S Peak and Harvest,AdAbMPW Harvest Only,17.32,8.15,8.13,51.44
S Harvest Only,AdAbMPW Peak and Harvest,0.31,2.22,2.22,16.4
S Harvest Only,AdAbMPW Harvest Only,9.68,7.59,7.59,56.05
AbMPSW Peak and Harvest,AbMPSW Peak and Harvest,14.54,6.09,3.75,26.52
AbMPSW Peak and Harvest,AbMPSW Harvest Only,26.18,9.78,5.8,39.97
AbMPSW Harvest Only,AbMPSW Peak and Harvest,4.61,3.1,2.57,22.56
AbMPSW Harvest Only,AbMPSW Harvest Only,3.22,2.93,2.3,22.59
Ad Peak and Harvest,AbMPSW Peak and Harvest,28.41,28.88,23.57,117.85
Ad Peak and Harvest,AbMPSW Harvest Only,47.72,41.98,34.92,176.86
Ad Harvest Only,AbMPSW Peak and Harvest,2.38,6.88,6.88,52.94
Ad Harvest Only,AbMPSW Harvest Only,5.49,11.63,11.63,89.48


